head,content
['为冬奥会成功举办“保驾护航” 冬奥城市运行及环境保障“两美两星”'],　　原标题：为冬奥会成功举办“保驾护航”，冬奥城市运行及环境保障“两美两星”——以实际行动践行“冬奥有我”承诺　　高水平、高质量、高标准完成好北京2022年冬奥会和冬残奥会保障任务，以实际行动践行“冬奥有我”承诺，这是每一位冬奥城市运行及环境保障工作者和志愿者的共同决心。日前，北京冬奥会城市运行及环境保障组办公室举办交流座谈会，首批冬奥会城市运行及环境保障“两美两星”优秀团队、个人代表汇聚一堂，分享各自参与冬奥、奉献冬奥的经验故事。　　市城管执法局执法总队队员崔里路从事城管工作十多年，2021年冬奥测试赛以来，他在“服务冬奥 环境无碍”等专项执法行动中表现突出，被评为本市首批城市运行及环境保障之星。为了摸清鸟巢、水立方、首体等场馆周边环境情况，崔里路加班加点，最忙的时候两个月只回家了10多天，“接下来，我将广泛动员社会力量参与冬奥城市运行和环境保障工作，充分调动检查单位和身边群众的积极性，参与冬奥、奉献冬奥，进一步提升市民满意度。”　　入选最美城市运行及环境保障团队的北京市气象局探测中心，为冬奥会气象观测提供可靠、准确的数据支撑。这支团队的工作人员们曾顶风冒雪前往延庆赛区检修维护自动气象站，山上的积雪没过小腿，眼镜上结了冰霜，手、脸都被冻得通红、麻木。“但我们很自豪，冬奥测试赛正常举行的背后有我们‘气象人’的身影！”发言代表常晨说，还有50多天，北京冬奥会将正式开幕，市气象局探测中心将全力以赴，以高水平、高质量、高标准完成冬奥会和冬残奥会技术支撑保障任务。　　“两美两星”工作者坚定守护城市运行安全，志愿者们也为维护美丽环境、营造浓厚冬奥氛围贡献出了巨大力量。　　今年已经63岁的“环保奶奶”贺玉凤，在延庆妫水两岸义务捡拾白色垃圾20多年，此次当选为首批最美环境志愿服务之星。说起即将在家门口举办的冬奥会，贺玉凤特别激动，“虽然我们这样的志愿者年龄偏大些，但我们更要发挥余热，带动、影响三十多万延庆乡亲，为创建最美冬奥城作出更大贡献！”　　海淀区万寿路街道公共文明引导员中队是此次评选出的最美环境志愿服务团队之一，作为城市治理的重要力量，队员们在万寿路路口、五棵松场馆群周边开展了礼让斑马线志愿活动。他们规范的站姿、标准的旗语、特有的柔性引导，彰显了高素质志愿者队伍风采，更成为五棵松冬奥场馆周边一道亮丽的风景。　　从2021年8月至2022年3月，北京冬奥会城市运行及环境保障组办公室将分三批次开展冬奥会城市运行及环境保障“两美两星”评选活动。目前，首批60个团队和个人已经评出，第二批选树工作正在开展。未来，将有更多“两美两星”投身冬奥城市运行及环境保障工作，为冬奥会成功举办“保驾护航”。(王天淇)
head,content
['12月11日31个省区市报告新增确诊病例75例 本土病例49例'],　　原标题：截至12月11日24时新型冠状病毒肺炎疫情最新情况　　12月11日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例75例。其中境外输入病例26例（上海8例，广西8例，山东2例，四川2例，云南2例，辽宁1例，福建1例，广东1例，陕西1例），含1例由无症状感染者转为确诊病例（在四川）；本土病例49例（浙江38例，其中绍兴市22例、杭州市8例、宁波市8例；内蒙古10例，均在呼伦贝尔市；黑龙江1例，在哈尔滨市），含20例由无症状感染者转为确诊病例（均在浙江）。无新增死亡病例。新增疑似病例1例，为境外输入病例（在上海）。　　当日新增治愈出院病例24例，解除医学观察的密切接触者1014人，重症病例与前一日持平。　　境外输入现有确诊病例504例（其中重症病例4例），现有疑似病例2例。累计确诊病例10457例，累计治愈出院病例9953例，无死亡病例。　　截至12月11日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1323例（其中重症病例28例），累计治愈出院病例93720例，累计死亡病例4636例，累计报告确诊病例99679例，现有疑似病例2例。累计追踪到密切接触者1358671人，尚在医学观察的密切接触者49810人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例，其中境外输入10例，本土10例（浙江9例，其中绍兴市8例、杭州市1例；江苏1例，在无锡市）；当日转为确诊病例21例（境外输入1例）；当日解除医学观察14例（境外输入11例）；尚在医学观察的无症状感染者474例（境外输入401例）。　　累计收到港澳台地区通报确诊病例29291例。其中，香港特别行政区12483例（出院12165例，死亡213例），澳门特别行政区77例（出院77例），台湾地区16731例（出院13742例，死亡848例）。　　 责任编辑：刘德宾 
head,content
['截至2021年12月11日24时河南省新型冠状病毒肺炎疫情最新情况'],　　原标题：截至2021年12月11日24时河南省新型冠状病毒肺炎疫情最新情况　　12月11日0—24时，全省无新增确诊病例、无症状感染者和疑似病例，6例本土确诊病例治愈出院。　　2021年7月31日至12月11日24时，全省累计报告本土确诊病例239例，累计出院本土确诊病例202例。目前在定点医院隔离治疗的确诊病例37例。　　2020年1月21日至2021年12月11日24时，全省累计报告确诊病例1637例（本土1512例、境外输入125例），现有住院病例47例（本土37例、境外输入10例）。尚在医学观察的无症状感染者12例（境外输入12例）。累计追踪到密切接触者48916人，正在观察的密切接触者224人。
head,content
['12月11日浙江新增确诊病例38例，杭州市8例、宁波市8例、绍兴市22例'],　　原标题：2021年12月12日浙江省新型冠状病毒肺炎疫情情况　　来源：健康浙江　　12月11日0-24时，新增确诊病例38例，其中杭州市8例（其中无症状感染者转确诊5例）、宁波市8例、绍兴市22例（其中无症状感染者转确诊15例），新增无症状感染者9例（其中杭州市1例，绍兴市8例），已排查密切接触者均已实施集中隔离。截至11日24时，累计报告确诊病例1601例（境外输入病例282例）。责任编辑：刘德宾 
head,content
['浙江12月11日新增本土确诊病例38例、本土无症状感染者9例'],　　原标题：2021年12月12日浙江省新型冠状病毒肺炎疫情情况　　来源：健康浙江 　　12月11日0-24时，新增确诊病例38例，其中杭州市8例（其中无症状感染者转确诊5例）、宁波市8例、绍兴市22例（其中无症状感染者转确诊15例），新增无症状感染者9例（其中杭州市1例，绍兴市8例），已排查密切接触者均已实施集中隔离。截至11日24时，累计报告确诊病例1601例（境外输入病例282例）。责任编辑：贾楠 SN245
