title,content,reading
美国宣布将不派任何外交或官方代表出席2022年北京冬奥会，外交部回应,"责任编辑：赵立坚强调，北京冬奥会是全球冬奥运动员和冰雪运动爱好者的盛会，他们才是主角。国际奥委会在内的国际社会高度认可中方筹办工作，外国运动员热切期待来华参赛，其中包括数量众多的美国运动员。我们相信在奥林匹克精神指引下，在各方共同努力下，中国一定能为世界呈现一届简约、安全、精彩的奥运盛会。美方应停止将体育运动政治化，停止干扰破坏北京冬奥会的言行，否则将损害两国在一系列重要领域和国际地区问题上的对话合作。赵立坚指出，冬奥会不是政治作秀和搞政治操弄的舞台。根据奥运规则，各国官员出席奥运会，应由本国奥委会邀请。美国政府官员是否出席北京冬奥会，是否来为自己的运动员加油，是美方自己的事。在未收到邀请情况下，美方把是否派政府官员出席同所谓“新疆人权问题”挂钩，这完全是颠倒黑白、错上加错、自欺欺人。美国的政治图谋不得人心也注定失败。美方做法严重违背奥林匹克宪章确立的体育运动政治中立原则，同更团结的奥林匹克格言背道而驰，站在了全世界广大运动员和体育爱好者的对立面。中方对美方表态强烈不满、坚决反对，已向美方提出严正交涉，并将作出坚决反制。赵立坚表示，美方炮制所谓新疆存在""种族灭绝""的世纪谎言，早已被事实戳穿。美方基于意识形态偏见，基于谎言、谣言试图干扰北京冬奥会，这只会让人看清美方的险恶用心，只会使美方更加丧失道德和信誉。说到“种族灭绝”，美国历史上对印第安原住民犯下的罪行才是真正的种族灭绝，这顶帽子美国自己戴最合适不过。据央视新闻，12月7日，外交部发言人赵立坚主持例行记者会。有记者提问，12月6日，美方宣布，拜登政府将不派任何外交或官方代表出席2022年北京冬奥会。中方对此有何评论？原标题：美国宣布将不派任何外交或官方代表出席2022年北京冬奥会，外交部回应",['40万']
title,content,reading
日本99名议员特殊日子“拜鬼”，中国外交部：蓄意为之，刻意挑衅,责任编辑：赵立坚指出，靖国神社是日本军国主义分子发动对外侵略战争的精神工具和象征，供奉有14名二战甲级战犯。日本政要参拜靖国神社，再次反映出日方对待自身侵略历史不思反省的错误态度。中方对此坚决反对，日方应恪守中日四个政治文件原则，正视并深刻反省侵略历史，同军国主义划清界限，以实际行动取信于亚洲邻国和国际社会。发言人赵立坚对此表示，80年前的今天，日本偷袭珍珠港，发动太平洋战争。日本大批政要选择今天高调参拜靖国神社，绝非偶然，恐怕是蓄意为之，刻意挑衅。靖国神社里面有个游就馆，宣称珍珠港事件是当年美国阴谋将日本拉入战争的圈套，日本被逼无奈才发动自卫战争。日本政客在今天这个特殊的日子里招摇过市，对靖国神社顶礼膜拜，究竟意欲何为？【环球时报-环球网报道记者乌元春】在12月7日的外交部例行记者会上，环球时报-环球网记者提问：据报道，包括9名副部长级政府官员在内，日本跨党派国会议员团体“大家一起参拜靖国神社国会议员之会”99名议员今天集体参拜了靖国神社。中方对此有何评论?原标题：日本99名议员特殊日子“拜鬼”，中国外交部：蓄意为之，刻意挑衅,['2423']
title,content,reading
内蒙古满洲里市新增确诊病例26例,责任编辑：央视新闻客户端消息，12月7日0时至14时，内蒙古满洲里市新增确诊病例26例。截至目前，满洲里市本轮疫情累计报告新冠肺炎确诊病例达435例。新增的确诊病例中，其中19例是在集中隔离人员核酸检测中检出，4例为封管控区核酸检测中检出，3例为居家封闭隔离核酸检测中检出。截至目前，满洲里市累计报告新冠肺炎确诊病例391例。12月6日0时至14时，新增密切接触者44人，累计排查密切接触者11392人。原标题：内蒙古满洲里市新增确诊病例26例,['22万']
title,content,reading
中央政治局会议首提促进房地产业“良性循环”，是什么信号？,责任编辑：中信证券报告认为，11月份销售继续同比大幅下降，但除去值得担心交付问题的企业，样本公司的销售降幅18%，按揭贷款放款时间明显变快，一手和二手市场较之10月略有恢复。未来几个月，包括存量项目转让在内的土地市场预计开始恢复，2022年3月房屋销售可能回暖。即便消费者顾虑交付问题，困境中的企业也可以通过转让项目回流资金，市场有能力进入良性循环。但是，仍可能存在个别大中型房企经营不善，无法按期偿付债务，进入债务重组阶段的风险；不少区域房价继续下行的风险。良性循环的关键在于企业销售-投资-销售的链条运转。“我们认为，2022年3月将有望出现基本面的底部。”贝壳研究院研究发现，在限贷政策下，低总价刚需群体受到的影响最大，需要更长的时间才能获得贷款，贷款成本也在上升，低总价二手房交易量下降更加明显。同时，由于各地实行严格的认房认贷政策，卖一买一这样的置换需求被视为购买多套，贷款成本和贷款难度增加，也抑制了改善型换房需求的释放。如果这些需求长期被压制，会导致市场快速萎缩，后续可能会出现集中释放，不利于市场平稳发展。此次政治局会议提出，要支持商品房市场更好满足购房者的合理住房需求，预计未来在首次购房和改善性换房方面会有更好的政策支持，贷款环境会更友好。“比如，新房循环不畅。受房企债务违约，担心房子交付不了，以及房价下跌预期影响，购房者买房情绪降低。二手房循环不畅。因为交易成本高，银行不给贷款，二手房交易下滑更明显，导致换房需求受影响，也冲击新房。一旦整个链条循环不畅，导致房地产明显下行，也会拖累经济增长。因此，政策开始从整个循环链条的每一个环节开始疏通，包括调整土地出让的政策，降低拿地门槛，增加开发贷款投放力度，重启并购贷款，合理发放住房贷款等。”在广东省住房政策研究中心首席研究员李宇嘉看来，中央政治局会议提出“良性循环”，也意味着现在房地产市场循环可能不畅。“前几个月，房地产行业中少数企业出现了短暂流动性问题，我国房地产政策一直保持高压态势，坚持房住不炒的大原则不变。但同时，政策层面也通过降准的方式，来缓解房地产行业流动性紧张的问题，防止违约，为房地产行业运营提供合理流动性，以保持房地产行业整体稳健发展。”中南财经政法大学数字经济研究院执行院长、教授盘和林说。同日，央行发布消息称，为支持实体经济发展，促进综合融资成本稳中有降，决定于2021年12月15日下调金融机构存款准备金率0.5个百分点（不含已执行5%存款准备金率的金融机构）。本次下调后，金融机构加权平均存款准备金率为8.4%。此次降准共计释放长期资金约1.2万亿元。“中央政治局会议的信号是比较明确的，之前可能一些政策收得太紧了，一些企业的资金流动性出现了问题，或者债务出现了违约，当然有些是无法避免的，总体上来说是为了防止更多的企业出现暴雷的情况，因为房地产一旦暴跌，对整个宏观经济占有很大的影响。”顾云昌认为，后续房企的融资环境有望继续改善。中信证券报告指出，近期，不少房地产企业面临借新还旧压力，商品房销售则在2021年三季度后开始降温。受此影响，第二、第三批土地集中出让流拍率大幅提升，四季度政府性基金收入大幅下降。房地产行业的现金流入和现金流出都大幅下降，也影响了整个产业链甚至金融体系的稳定，威胁了购房人的权益。我们相信，促进房地产业良性循环，首先就是稳定产业各参与主体的预期，向健康发展的企业释放必要的流动性，也是肯定房地产企业对社会的贡献，肯定商品房市场的作用，更是加快按揭贷款的投放，稳住企业的销售回款。中指研究院报告提到，下半年以来，随着房地产信贷以及预售资金监管收紧，销售市场及土地市场均明显降温，叠加个别房企风险问题暴露，市场信心进一步受挫，从企业融资到投资拿地、开工建设、销售回款、竣工交付等环节均不同程度遇阻，现阶段良性循环对行业发展尤为重要。中央提及“良性循环”，亦表明监管层已关注到当前市场循环路径遇阻带来的风险。“市场过热的时候要浇冷水，但水也不能浇得太多了，总的来说就是要适量。”全国房地产商会联盟主席、住建部住房政策专家委员会原副主任顾云昌对澎湃新闻表示，房地产市场有一定的周期性，过去一般是二至三年一个周期，房地产市场由供求关系决定了它的周期性变化，房地产的周期性也和国家的整个经济周期密切相关。“良性循环就是房地产业和宏观经济协调发展。在改善居民住房条件的同时，也促进经济的发展。”中国社科院财经战略研究院住房大数据项目组组长邹琳华说。中国社会科学院城环所研究员、房地产蓝皮书执行主编王业强指出，良性循环反映的是一个更加积极的政策信号，对房地产不是单纯限制，要让它与国民经济形成良性互动。其实，在今年11月24日，《人民日报》曾刊发中共中央政治局委员、国务院副总理刘鹤署名文章《必须实现高质量发展》，文章中亦提及“良性循环”一词。文中提到，要坚持房子是用来住的、不是用来炒的定位，因城施策、分类指导，着力稳地价、稳房价、稳预期，落实好房地产市场长效机制，顺应居民高品质住房需求，更好解决居民住房问题，促进房地产行业平稳健康发展和良性循环。以往中央政治局会议对房地产业的表述，主要提及“房住不炒”、“促进房地产市场平稳健康发展”，而今年对于房地产市场的说法有变，提到了促进房地产业“良性循环”。“良性循环”一词也是首次在中央政治局会议中提出。12月6日，中共中央政治局召开会议，分析研究2022年经济工作。会议强调，明年经济工作要稳字当头、稳中求进。房地产方面，会议明确，要推进保障性住房建设，支持商品房市场更好满足购房者的合理住房需求，促进房地产业健康发展和良性循环。原标题：中央政治局会议首提促进房地产业“良性循环”，是什么信号？,['1355']
title,content,reading
延长产假增设育儿假能否缓解年轻人的生育焦虑,"责任编辑：叶明欣表示，目前延长的产假有生育保险可以保障女性休假期间的薪资，但是新增加的育儿假带来的经济成本如何分担，还需进一步明确。朱飞认为，提高生育率是个系统工程，不单单是延长产假和增加育儿假，政府投入相应资金，提高婴幼儿托管育社会服务设施的供给数量和质量，增加在相关社会服务专业人才培养的投入，切实解决年轻人不敢生的问题，更为重要。目前，在我国，0至3岁幼儿的托幼服务主要由家庭自行承担，社会化、市场化托育服务还存在较大缺口。北京义贤律师事务所律师叶明欣对记者表示，为配合三孩政策的落实，各地都在调整计生政策，这个立法过程仍需充分吸纳民意，听取各方，特别是用人单位和女性职工的声音，在此基础上科学论证、制定符合当地实际情况的新规则。“政府部门应出台政策，通过财政补贴、税费减免等措施补偿用人单位的成本，共担生育成本，用人单位才能更积极配合这些政策的落地。”朱飞说。“工作中，由于生育二孩三孩对用人单位发展和人均效能等都会形成潜在影响，延长产假、增加育儿假等措施可能会导致女性就业更加困难，进而导致年轻人对生育问题更加焦虑。”朱飞说，这些成本全由用人单位负担显然是不现实的，要避免政府释放生育红利、完全由用人单位“埋单”现象发生。华中科技大学的调查结果还显示，生育一个孩子将使家庭劳动力市场总收入下降约5.6%；继续生育第二个孩子的家庭劳动力市场总收入再次下降约7.1%。值得注意的是，在近日公开征求意见的《湖南省人口与计划生育条例（修正案草案）》中，“修改依据和理由”一栏中提到：假期过长有可能影响女性就业，从长远看，不利于维护和发展女性权益。朱飞认为，这段话相当中肯，是对待生育的客观、理性说法。应该承认，现代社会生活、工作节奏越来越快，一个育龄女性较长时间脱离职场后，返回职场后面临的种种困难都相当大，这对其职业发展和职业生涯的连续性都可能带来巨大冲击。中央财经大学人力资源管理系教授朱飞在接受中青报中青网记者采访时说，延长产假，对女性的种种好处显而易见，但也要看到其执行的难度以及可能带来的潜在问题。例如，一些地方政策明确规定，休生育假不影响晋级、调整工资、计算工龄。但在具体实践中，大幅延长的假期、以及可能出现的二孩和三孩情形，对用人单位形成的潜在挑战相当大，执行过程中，生育者休完产假之后，工作岗位还在不在，晋级和工资调整是否能通过相应考核等，这些问题都需要考虑。华中科技大学社会学院日前发布的一项对25个省（市、自治区）共计7642人进行的调查显示，与生育之前相比，生育一个孩子使得妻子的就业几率下降约6.6%；继续生育第二个孩子的妻子，其就业几率再次下降9.3%。“以后女孩子找工作估计更难了。”看到多地延长产假的规定，一位正在求职的女孩说，自己找工作过程中，被问得最多的一句话就是，“打算多久结婚生孩子？”小唐说：""延长产假对于我来说，无疑是一件大好事，但产假结束后，我还得面临重返职场的问题，我在政府部门做公务员，很担心休产假回去后，工作位置没了，不一定能被领导重用。”记者注意到，各地调整计生政策大都规定了：延长产假、生育假、夫妻双方享受育儿假等；发放生育津贴或补贴金；参保女职工生育三孩的费用纳入生育保险待遇支付范围。规定再婚夫妻也可以生育三个孩子.陕西省司法厅近日就《陕西省人口与计划生育条例（修订草案征求意见稿）》征求意见，征求意见稿中规定：合法生育的父母在子女一至三周岁期间，每年给予父母双方各不低于三十天的育儿假。浙江省、广东省修订后的人口与计划生育条例中都作了规定，再婚夫妻生育子女的数量，按照再婚后夫妻共同生育的子女数计算，再婚夫妻再婚前生育的子女数不进行合并计算，也就是再婚夫妻再婚后也可以生育三个孩子。浙江省新修订的《浙江省人口与计划生育条例》规定，生育一孩的产假为158天，生育二孩、三孩的产假为188天。妇女产假的期限自生育之日起按照自然日计算，包含国家法定节假日、休息日和职业假。不影响晋级、调整工资、计算工龄。11月26日，《北京市人民代表大会常务委员会关于修改<北京市人口与计划生育条例>的决定》通过，其中规定，按规定生育子女的夫妻，女方除享受国家规定的产假外，享受延长生育假60日，男方享受陪产假15日。中国青年报客户端讯（中青报中青网记者李桂杰）在北京工作的小唐最近称自己“痛并快乐着”，她怀孕二胎已经有六个月了，“家里两边老人身体都不太好，谁来帮我带孩子呀？”这个问题让她特别心焦，她注意到了，全国各地已相继完成了地方人口与计划生育条例的修改工作，密集出台鼓励生育措施。据不完全统计，截至目前，全国已经有20多个省份完成修法或启动修法，其中延长产假、增设育儿假、发放生育补贴备受关注。原标题：延长产假增设育儿假能否缓解年轻人的生育焦虑",['71万']
title,content,reading
